county_desc,precinct_abbrv,precinct_desc,reg_active,reg_inactive,reg_other_status,reg_total,party_dem,party_lib,party_rep,party_unaf,party_other,race_asian,race_black,race_aian,race_multiracial,race_other_race,race_nhpi,race_undesignated,race_white,eth_hispanic,eth_not_hispanic,eth_undesignated,gender_female,gender_male,gender_unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,age_under_18,age_unknown,reg_removed,
WILKES,111,MILLERS CREEK,1750,185,0.0,1935.0,198,6,971,575,0,10,23,0,5,46,0,155,1696,52,1497,386,938,859,138,168,252,263,266,296,357,333,0,0,0.0,0.0
WILKES,112,MORAVIAN FALLS,1859,230,0.0,2089.0,217,6,1073,563,0,9,67,2,6,70,0,155,1780,89,1512,488,1041,921,127,154,285,244,275,358,422,351,0,0,0.0,0.0
WILKES,113A,MOUNT PLEASANT,1955,194,0.0,2149.0,243,9,1102,601,0,7,7,3,2,17,0,113,2000,19,1660,470,1040,973,136,179,257,230,310,377,447,349,0,0,0.0,0.0
WILKES,114,MULBERRY #1,661,68,0.0,729.0,60,5,401,194,1,1,5,0,2,3,0,42,676,4,576,149,343,337,49,53,84,80,112,149,142,109,0,0,0.0,0.0
WILKES,115A,MULBERRY,3289,342,0.0,3631.0,294,12,2050,933,0,3,52,1,8,76,0,257,3234,76,2752,803,1755,1624,252,347,543,481,500,627,580,553,0,0,0.0,0.0
WILKES,117,NEW CASTLE,1088,87,0.0,1175.0,134,7,665,282,0,0,46,1,1,25,0,72,1030,23,830,322,566,521,88,96,159,165,168,205,204,178,0,0,0.0,0.0
WILKES,118,NORTH WILKESBORO,2009,367,0.0,2376.0,452,7,818,731,1,13,261,7,9,115,0,165,1806,144,1651,581,1281,951,144,231,388,351,301,341,395,369,0,0,0.0,0.0
WILKES,119,REDDIES RIVER,3709,369,0.0,4078.0,381,10,2183,1133,2,7,19,5,3,71,0,265,3708,78,3117,883,2001,1790,287,395,619,528,608,741,652,535,0,0,0.0,0.0
WILKES,120A,ROCK CREEK,3586,375,0.0,3961.0,343,11,2183,1048,1,7,55,1,6,68,0,279,3545,73,2929,959,1872,1799,290,384,604,587,591,661,625,509,0,0,0.0,0.0
WILKES,122,SOMERS,758,46,0.0,804.0,39,2,557,160,0,2,3,2,1,9,0,52,735,8,617,179,391,354,59,64,107,113,104,138,155,123,0,0,0.0,0.0
WILKES,123A,TRAPHILL,1997,198,0.0,2195.0,167,6,1254,570,0,1,21,3,5,29,0,174,1962,26,1482,687,1003,990,202,184,291,269,322,440,370,319,0,0,0.0,0.0
WILKES,125,UNION,737,67,0.0,804.0,78,3,458,196,2,3,13,1,0,10,0,51,726,13,617,174,374,381,49,60,82,90,127,144,161,140,0,0,0.0,0.0
WILKES,126,WALNUT GROVE,765,77,0.0,842.0,58,2,506,199,0,2,0,0,2,12,0,48,778,14,631,197,372,413,57,66,95,90,116,169,180,126,0,0,0.0,0.0
WILKES,127,WILKESBORO #1,1913,218,0.0,2131.0,408,4,872,629,0,46,180,4,6,74,0,131,1690,80,1604,447,1145,850,136,162,263,247,279,338,383,459,0,0,0.0,0.0
WILKES,128,WILKESBORO #2,2332,280,0.0,2612.0,333,10,1306,683,0,3,221,1,3,97,0,196,2091,115,1888,609,1273,1133,206,241,364,341,365,446,450,405,0,0,0.0,0.0
WILKES,129,WILKESBORO #3,1800,194,0.0,1994.0,275,8,975,542,0,13,101,3,8,69,0,106,1694,81,1533,380,955,921,118,170,290,214,286,370,362,302,0,0,0.0,0.0
WILSON,PRBL,BLACK CREEK,2393,341,0.0,2734.0,601,16,989,787,0,9,472,6,7,138,0,171,1931,152,1809,773,1362,1207,165,274,440,361,384,494,422,359,0,0,0.0,0.0
