county,registered_youth,registered_total
EAST HARRIS,280,2259
EAST MOUNT HOLLY,318,3637
EAST YOUNGSVILLE,503,4910
FLINT GROVES,220,2428
FOREST HEIGHTS,504,4585
GARDNER PARK,211,2511
GARRISON,319,3583
GOLD MINE,77,910
HAYESVILLE,123,1272
HIGH SHOALS,269,2807
HIGHLAND HILL,284,2394
HOFFMAN,658,6290
LANDERS CHAPEL,189,2141
LAWRENCE,40,557
LEGGETT,66,509
LEWIS,80,845
LOUISBURG CITY,127,1555
LOWELL,184,2199
LUCIA,219,3203
MACCLESFIELD,103,1009
MCADENVILLE,158,1886
MYRTLE,403,3473
NEW HOPE,752,9052
NORTH BELMONT,169,1688
NORTH BESSEMER,290,3325
NORTH CHERRYVILLE,261,2867
OLD SPARTA,153,1308
PEARCES,212,1855
PILOT,516,4962
PINETOPS,164,1791
RANLO,259,2539
ROBINWOOD LAKE,358,4060
ROCKY MOUNT 1,378,3776
ROCKY MOUNT 2,199,1930
ROCKY MOUNT 4,139,1514
ROCKY MOUNT 5,90,1065
SANDY CREEK,224,2513
SHARPSBURG,375,3891
SOUTH BESSEMER,191,1949
SOUTH CHERRYVILLE,239,2920
SOUTH GASTONIA,400,4130
SOUTH POINT,550,5253
SPEED,28,360
SPRINGFIELD,400,4565
STANLEY CREEK,487,5051
TARBORO 1,160,1669
TARBORO 2,200,2621
TARBORO 3,182,1923
TARBORO 4,185,1897
TEMPERANCE HALL,121,1075
TRYON,284,4811
UNION,964,10813
VICTORY RIDGE,347,3257
WEST EDGECOMBE,302,2848
WEST FRANKLINTON,379,3980
WEST HARRIS,441,4088
WEST LOUISBURG COUNTRY,128,1470
WEST MOUNT HOLLY,415,4717
WEST YOUNGSVILLE 1,368,3967
WEST YOUNGSVILLE 2,749,7789
WHITAKERS,102,1439
WILKINSON,222,2982
YORK CHESTER,180,2459
ANTIOCH,334,3455
ARBA,84,811
BEAR GARDEN,56,742
BEREA,108,1442
BULL HEAD,75,729
BUTNER,281,2477
CASTORIA,84,794
CG1,222,2557
CG2,183,2068
CG3A,129,1593
CG3B,265,2842
CORINTH,245,2211
CREDLE,145,1621
CREEDMOOR,417,4197
EAST OXFORD,165,1675
EAST WARD,409,4455
FEN1,357,3325
FEN2,198,1973
FR1,369,3860
FR2,221,2206
FR3,165,1565
FR4,119,1372
FR5A,218,1964
FR5B,126,1326
G01,311,968
G02,168,1371
G03,165,1568
G04,298,1677
G05,143,1234
G06,139,1321
G07,219,1953
G08,268,2211
G09,381,2716
G10,350,2598
G11,80,1469
G12,73,940
G13,80,1234
G14,111,1110
G15,81,1232
G16,132,1424
G17,105,1600
G18,105,1233
G19,143,1508
G20,175,2262
G21,307,3081
G22,168,1720
G23,106,1264
G24,129,1310
G25,104,1585
G26,350,3008
G27,199,2694
G28,57,982
G29,119,1376
G30,121,1682
G31,80,1345
G32,202,2241
G33,149,1615
G34,164,1740
G35,73,1120
G36,174,1695
G37,211,2177
G38,177,2179
G39,257,1288
G40A1,126,1580
G40A2,68,1179
G40B,126,1352
G41A,67,1300
G41B,135,1836
G42A,86,1417
G42B,9,1023
G43,251,2277
G44,554,1856
G45,1655,1969
G46,547,2257
G47,510,2158
G48,827,2888
G49,135,1007
G50,612,2465
G51,203,1589
G52,167,1506
G53,296,2274
G54,240,2024
G55,252,2060
G56,180,1448
G57,179,1607
G58,223,1501
G59,185,1230
G60,220,1633
G61,219,1627
G62,136,1335
G63,134,1587
G64,271,2405
G65,240,2118
G66,275,2098
G67,814,1714
G68,1251,1498
G69,296,1793
G70,946,2191
G71,251,2097
G72,297,2323
G73,139,1280
G74,176,1735
G75,165,1530
GIB,233,2794
GR,232,2603
H01,389,3175
H02,463,5816
H03,217,1493
H04,695,6263
H05,437,5428
H06,592,5629
H07,163,1217
H08,703,7135
H09,188,1264
H10,666,6036
H11,1156,8063
H12,500,4926
H13,502,6791
H14,119,1373
H15,188,1706
H16,114,1151
H17,145,1048
H18,179,1554
H19A,84,990
H19B,54,967
H20A,80,1043
H20B,131,1329
H21,99,1272
H22,125,1254
H23,102,1323
H24,184,2240
H25,344,3110
H26,177,1862
H27-A,254,1965
H27-B,225,1899
H28,200,2575
H29A,225,2181
H29B,191,2399
HOOKERTON,84,715
JAM1,231,2616
JAM2,173,1799
JAM3,188,2090
JAM4,212,2799
JAM5,159,1415
JEF1,329,3001
JEF2,332,2584
JEF3,468,3652
JEF4,202,1842
MAURY,147,1382
MON1,423,3299
MON2A,460,3025
MON2B,190,1621
MON3,555,4900
MT ENERGY,453,4805
NCGR1,471,3469
NCGR2,357,2705
NCLAY1,248,2405
NCLAY2,89,1334
NDRI,335,3031
NMAD,341,3791
NWASH,66,1168
OR1,499,4246
OR2,369,2879
PG1,187,1675
PG2,219,2614
PRECINCT #1,99,1226
PRECINCT #2,84,871
PRECINCT #3,169,1767
PRECINCT #4 NORTH,108,1324
PRECINCT #4 SOUTH,54,793
PRECINCT #5,77,928
RC1,399,4174
RC2,510,5741
SASSAFRAS FORK,141,1753
SCLAY,160,1902
SDRI,685,6573
SF1,430,3420
SF2,177,1750
SF3,277,2671
SF4,424,3568
SHINE,155,1376
SMAD,207,2421
SNOW HILL 1,122,1410
SOUTH OXFORD,108,1374
STECOAH,84,1119
STOK,553,4951
SUGG,94,882
SUM1,219,2065
SUM2,291,2423
SUM3,99,1058
SUM4,133,1865
SWASH,85,982
TALLY HO,329,3942
TAPOCO,38,417
WALSTONBURG,99,927
WEST OXFORD ELEM.,113,1305
WEST WARD,187,1816
WILTON,525,5840
ALLENS CREEK,131,2008
ANDERSON CREEK/FLATBRANCH,356,3297
ANDERSON CREEK/OVERHILLS,709,5774
ARMORY,122,1381
ATKINSON,202,3302
BARBECUE/BENHAVEN,752,6260
BARBECUE/SPOUT SPRINGS,705,6094
BAT CAVE,51,859
